TradeFrequency,ReviewPeriod,ARR_mean,ARR_median,ARR_std,ARR_max,ARR_min,Sharp_Ratio
3d,2y,36.541116520904325,33.47286012708604,20.137272284302103,102.65721791672573,-3.5294770988584356,1.5231884286034554
3d,3y,32.20704079307374,31.602548121749802,8.397045069492039,63.64893872024027,12.472825857597185,3.430081401658137
4h,4w,37.47111846531074,12.06823058365023,241.33388257943292,947.0710656930794,-566.4419402860959,0.03840418297086681
4h,8w,20.858122509062397,18.36606773465138,71.67227944904327,322.5500827281756,-218.57192647300667,0.21718393574629313
4h,13w,26.0306989689071,11.79542190218168,89.44359357705989,465.5409534602105,-162.26519734106338,0.1005708910211853
4h,26w,23.71622130792658,20.347896004132203,51.36859939147936,223.3810477426757,-82.49906877584287,0.3416074452487976
4h,1y,25.652621830763298,15.55686483478096,43.558912511376306,226.47284473110204,-42.364837113773305,0.29286463089383236
4h,2y,31.917297364683954,31.224443874943475,17.38066087374386,82.77289542701848,-9.887257997057802,1.6354063911276777
4h,3y,24.095435457119706,24.189982884974757,8.630780287154243,47.31365337255411,3.252940537994313,2.4783370881090407
1d,4w,15.537440601510834,20.80686169753907,91.67799619225065,300.6816674466993,-339.9177840897658,0.19641421546538068
1d,8w,16.34430258727344,19.034667546308334,67.03039663544926,240.46759332326164,-241.67953501627056,0.24219858991141002
1d,13w,17.078363641581984,15.424786508484445,54.92031263038689,218.1773702943346,-159.78093502229748,0.22987462932793412
1d,26w,16.18737131088634,17.867039216173254,35.081427010429046,133.829893016093,-69.74216871745331,0.42948763776610643
1d,1y,16.24466233041787,10.932820087287775,28.845232652504134,125.76453600307045,-32.91170395813362,0.2819467669151125
1d,2y,20.550941942260266,19.982640761450767,11.511540941284514,58.93001498592814,-7.792196095851106,1.4926447162106382
1d,3y,14.77781789380935,14.528937282895242,6.9120939825403624,33.87110364112731,-0.8112473466087714,1.6968717891455192
2h,4w,27.92350388840871,21.97061747487019,85.58031634445216,296.3642076853194,-296.11412009646915,0.2240073219373294
2h,8w,28.253787696086743,19.76659220959176,65.49071591143868,261.1683974704183,-170.15236412324236,0.2590686629924037
2h,13w,30.270099164339968,22.89353027746559,63.11281507239304,301.4896598570278,-127.35737205569677,0.31837480635933396
2h,26w,32.01200093995838,29.960519723058,41.09876493290954,187.22983782791883,-55.274589505357106,0.6608597549681939
2h,1y,37.38829868858605,28.097779768141564,32.09102407454987,140.26645849475284,-15.079320654804196,0.7883132588530959
2h,2y,52.3835724555518,50.75535796006052,17.398412382488104,121.38206066338608,12.642187638180369,2.7563065471610892
2h,3y,49.966791291920146,49.64781564514914,8.762990096659955,75.29907741042257,29.425146697242663,5.3460993483269315
4w,4w,21.53474734359903,0.0,101.54883014452287,458.5303514376994,-375.3508889185938,-0.027572941963143045
4w,8w,22.308683127680222,15.971484908235878,75.00501789099674,286.1060427176129,-220.46075509190263,0.17560804968245897
4w,13w,27.2807050891951,19.614358721872716,91.11733523984009,450.19875203532035,-174.58426655794983,0.184535233362716
4w,26w,23.699672943608686,18.947963881499152,49.29371736896936,271.0471593883742,-77.61587859010415,0.32758665289188305
4w,1y,25.0596780922105,22.866652916920714,29.29074090269176,123.18898493121453,-27.1557836369438,0.6850851941091264
4w,2y,30.52705549102108,28.71379956334531,18.468437842121876,102.3595600007157,-8.67271434036062,1.4031397666045382
4w,3y,27.67665220903851,27.007129001195818,9.805660998108978,53.91160713404261,4.103210302216831,2.4686891588302067
